2 theta	A_{s,sc}	A_{c,sc}	A_{c,c}
66.4	0.3210626	0.5812692	0.9247079
66.5	0.3211127	0.5813089	0.9247062
66.6	0.3211629	0.5813567	0.9247036
66.7	0.321213	0.5814132	0.9247001
66.8	0.3212633	0.5814786	0.924696
66.9	0.3213135	0.5815525	0.9246907
67	0.3213637	0.5816365	0.9246844
67.1	0.321414	0.5817306	0.9246773
67.2	0.3214643	0.5818362	0.924669
67.3	0.3215147	0.5819544	0.9246595
67.4	0.3215651	0.5820875	0.9246484
67.5	0.3216155	0.582238	0.9246359
67.6	0.3216659	0.5824102	0.9246213
67.7	0.3217165	0.5826107	0.9246039
67.8	0.321767	0.582852	0.9245827
67.9	0.3218175	0.5831611	0.9245557
68	0.3218681	0.5836328	0.924514
68.1	0.3219187	0.5842896	0.9244571
68.2	0.3219693	0.5842933	0.9244602
68.3	0.32202	0.5842991	0.9244629
68.4	0.3220707	0.5843074	0.9244655
68.5	0.3221214	0.5843178	0.9244677
68.6	0.3221721	0.5843306	0.9244695
68.7	0.3222229	0.5843457	0.9244714
68.8	0.3222737	0.5843629	0.9244725
68.9	0.3223245	0.5842437	0.9245104
69	0.3223754	0.5841909	0.924531
69.1	0.3224262	0.5841612	0.9245467
69.2	0.3224771	0.584143	0.9245591
69.3	0.3225281	0.584133	0.9245699
69.4	0.322579	0.584129	0.9245791
69.5	0.32263	0.5841305	0.9245876
69.6	0.3226811	0.5841361	0.9245951
69.7	0.3227321	0.584146	0.9246019
69.8	0.3227831	0.5841597	0.9246077
69.9	0.3228343	0.584177	0.9246134
70	0.3228855	0.5841976	0.9246182
70.1	0.3229365	0.5842214	0.9246225
70.2	0.3229877	0.5842483	0.9246262
70.3	0.3230389	0.5842785	0.9246294
70.4	0.3230902	0.5843116	0.9246324
70.5	0.3231414	0.5843478	0.9246348
70.6	0.3231927	0.584387	0.9246366
70.7	0.3232439	0.5844292	0.9246383
70.8	0.3232954	0.5844743	0.9246392
70.9	0.3233467	0.5838399	0.9247025
71	0.323398	0.5834802	0.9247425
71.1	0.3234494	0.5832523	0.9247704
71.2	0.3235009	0.5830839	0.9247929
71.3	0.3235523	0.5829527	0.9248123
71.4	0.3236038	0.5828478	0.9248288
71.5	0.3236553	0.5827635	0.9248433
71.6	0.3237068	0.582696	0.9248564
71.7	0.3237584	0.5826432	0.9248679
71.8	0.3238099	0.5826032	0.924878
71.9	0.3238615	0.5825749	0.9248871
72	0.3239132	0.5825574	0.9248951
72.1	0.3239647	0.5825505	0.9249018
72.2	0.3240164	0.5825537	0.924908
72.3	0.324068	0.5825672	0.9249129
72.4	0.3241198	0.5825908	0.9249166
72.5	0.3241715	0.5826252	0.9249192
72.6	0.3242233	0.5826714	0.9249207
72.7	0.3242751	0.5827301	0.9249213
72.8	0.3243269	0.5828037	0.92492
72.9	0.3243788	0.582895	0.9249172
73	0.3244305	0.58301	0.9249123
73.1	0.3244824	0.5831587	0.9249042
73.2	0.3245342	0.5833687	0.9248905
73.3	0.3245862	0.5838314	0.924854
73.4	0.3246381	0.5839419	0.9248503
73.5	0.3246901	0.5839201	0.9248584
73.6	0.3247421	0.5839015	0.9248661
73.7	0.3247941	0.5838858	0.9248731
73.8	0.3248461	0.5838733	0.9248801
73.9	0.3248982	0.5838635	0.9248866
74	0.3249502	0.5838566	0.9248927
74.1	0.3250023	0.5838525	0.9248984
74.2	0.3250544	0.5838513	0.9249041
74.3	0.3251066	0.5838525	0.924909
74.4	0.3251587	0.5838564	0.9249139
74.5	0.325211	0.583863	0.9249184
74.6	0.3252631	0.5838723	0.9249223
74.7	0.3253153	0.583884	0.9249262
74.8	0.3253675	0.5838981	0.9249297
74.9	0.3254198	0.583915	0.924933
75	0.3254721	0.5839344	0.9249357
75.1	0.3255244	0.5839561	0.9249382
75.2	0.3255767	0.5839804	0.9249403
75.3	0.325629	0.5840071	0.9249424
75.4	0.3256814	0.5840364	0.9249439
75.5	0.3257338	0.5840682	0.9249453
75.6	0.3257862	0.5841022	0.9249461
75.7	0.3258386	0.5841388	0.9249465
75.8	0.3258911	0.584178	0.9249471
75.9	0.3259435	0.5842196	0.9249472
76	0.3259961	0.5842639	0.9249466
76.1	0.3260486	0.5843104	0.9249462
76.2	0.3261011	0.5843596	0.9249451
76.3	0.3261537	0.5844113	0.924944
76.4	0.3262062	0.5844657	0.9249426
76.5	0.3262588	0.5845228	0.9249404
76.6	0.3263114	0.5845824	0.9249381
76.7	0.3263641	0.5846447	0.9249357
76.8	0.3264168	0.5847097	0.9249328
76.9	0.3264694	0.5847776	0.9249294
77	0.3265221	0.5848482	0.9249259
77.1	0.3265748	0.5849218	0.9249219
77.2	0.3266276	0.5849984	0.9249177
77.3	0.3266803	0.585078	0.9249133
77.4	0.3267332	0.5851606	0.9249082
77.5	0.3267859	0.5852464	0.9249031
77.6	0.3268388	0.5853354	0.9248969
77.7	0.3268916	0.5852361	0.9249269
77.8	0.3269444	0.5851312	0.9249594
77.9	0.3269973	0.5851068	0.9249771
78	0.3270503	0.5851131	0.9249896
78.1	0.3271031	0.5851387	0.9249989
78.2	0.327156	0.5851785	0.9250059
78.3	0.3272091	0.5852299	0.9250112
78.4	0.327262	0.5852916	0.9250144
78.5	0.327315	0.5853628	0.9250168
78.6	0.3273681	0.585443	0.9250176
78.7	0.327421	0.5855321	0.9250177
78.8	0.3274742	0.58563	0.9250161
78.9	0.3275272	0.5857371	0.9250138
79	0.3275804	0.5858538	0.92501
79.1	0.3276334	0.5859812	0.9250051
79.2	0.3276866	0.5861202	0.924999
79.3	0.3277397	0.5862728	0.9249915
79.4	0.3277929	0.5864411	0.9249825
79.5	0.3278461	0.5866295	0.9249712
79.6	0.3278993	0.5868447	0.9249573
79.7	0.3279526	0.5871013	0.9249398
79.8	0.3280059	0.5874375	0.924915
79.9	0.3280591	0.5881267	0.9248589
80	0.3281124	0.5881798	0.9248605
80.1	0.3281657	0.5882364	0.9248619
80.2	0.328219	0.5882962	0.9248626
80.3	0.3282725	0.5883597	0.9248631
80.4	0.3283257	0.5884266	0.924863
80.5	0.3283792	0.5884971	0.9248624
80.6	0.3284326	0.5885711	0.9248613
80.7	0.328486	0.5886489	0.9248598
80.8	0.3285394	0.5887305	0.9248579
80.9	0.3285929	0.5888162	0.9248556
81	0.3286464	0.5881601	0.9249212
81.1	0.3286999	0.5879176	0.9249504
81.2	0.3287534	0.5877706	0.924971
81.3	0.328807	0.5876729	0.924987
81.4	0.3288606	0.5876082	0.9250001
81.5	0.3289141	0.5875679	0.9250107
81.6	0.3289677	0.5875478	0.9250192
81.7	0.3290214	0.5875451	0.9250265
81.8	0.3290751	0.5875577	0.9250319
81.9	0.3291287	0.587585	0.9250359
82	0.3291824	0.5876262	0.9250387
82.1	0.329236	0.5876813	0.9250401
82.2	0.3292898	0.5877502	0.92504
82.3	0.3293435	0.5878339	0.9250385
82.4	0.3293973	0.5879332	0.9250357
82.5	0.329451	0.5880501	0.9250312
82.6	0.3295048	0.5881871	0.9250246
82.7	0.3295586	0.5883488	0.9250157
82.8	0.3296125	0.5885428	0.9250038
82.9	0.3296663	0.5887846	0.9249876
83	0.3297201	0.5891154	0.9249634
83.1	0.329774	0.5898875	0.9248997
83.2	0.3298278	0.5899093	0.9249049
83.3	0.3298818	0.5899373	0.9249097
83.4	0.3299358	0.5899714	0.9249136
83.5	0.3299897	0.5900123	0.9249169
83.6	0.3300437	0.5900604	0.9249195
83.7	0.3300978	0.590116	0.9249214
83.8	0.3301517	0.5901798	0.9249222
83.9	0.3302057	0.5902525	0.9249223
84	0.3302598	0.5903353	0.9249215
84.1	0.3303138	0.5904295	0.9249194
84.2	0.3303679	0.5905372	0.9249159
84.3	0.330422	0.5906612	0.9249111
84.4	0.3304761	0.5908053	0.9249039
84.5	0.3305302	0.590977	0.9248946
84.6	0.3305843	0.5911884	0.9248814
84.7	0.3306386	0.5914689	0.9248621
84.8	0.3306927	0.5919319	0.9248264
84.9	0.3307469	0.5924405	0.9247884
85	0.3308011	0.5924175	0.924799
85.1	0.3308553	0.5923961	0.9248093
85.2	0.3309096	0.5923763	0.9248189
85.3	0.3309639	0.5923582	0.9248286
85.4	0.3310182	0.5923416	0.9248381
